,Date,Location,Flight,Fatalities,Year,Month,Day,Casualties,Aboard,% Casualty,Decade
0,1908-09-17,Fort Myer- VirginiaMilitary - U.S. Army,Wright Flyer III?,1/2(0),1908,9,17,1,2,50.0,1920
1,1909-09-07,Juvisy-sur-Orge- France?,Wright ByplaneSC1,1/1(0),1909,9,7,1,1,100.0,1920
2,1912-07-12,Atlantic City- New JerseyMilitary - U.S. Navy,Dirigible?,5/5(0),1912,7,12,5,5,100.0,1920
3,1913-08-06,Victoria- British Columbia- CanadaPrivate,Curtiss seaplane?,1/1(0),1913,8,6,1,1,100.0,1920
4,1913-09-09,Over the North SeaMilitary - German Navy,Zeppelin L-1 (airship)?,14/20(0),1913,9,9,14,20,70.0,1920
5,1913-10-17,Near Johannisthal- GermanyMilitary - German Navy,Zeppelin L-2 (airship)?,30/30(0),1913,10,17,30,30,100.0,1920
6,1915-03-05,Tienen- BelgiumMilitary - German Navy,Zeppelin L-8 (airship)?,21/41(0),1915,3,5,21,41,51.21951219512195,1920
7,1915-09-03,Off Cuxhaven- GermanyMilitary - German Navy,Zeppelin L-10 (airship)?,19/19(0),1915,9,3,19,19,100.0,1920
8,1916-07-28,Near Jambol- BulgeriaMilitary - German Army,Schutte-Lanz S-L-10 (airship)?,20/20(0),1916,7,28,20,20,100.0,1920
9,1916-09-24,Billericay- EnglandMilitary - German Navy,Zeppelin L-32 (airship)?,22/22(0),1916,9,24,22,22,100.0,1920
10,1916-10-01,Potters Bar- EnglandMilitary - German Navy,Zeppelin L-31 (airship)?,19/19(0),1916,10,1,19,19,100.0,1920
11,1916-11-21,Mainz- GermanyMilitary - German Army,Super Zeppelin (airship)?,27/28(0),1916,11,21,27,28,96.42857142857143,1920
12,1916-11-28,Off West Hartlepool- EnglandMilitary - German Navy,Zeppelin L-34 (airship)?,20/20(0),1916,11,28,20,20,100.0,1920
13,1917-03-04,Near Gent- BelgiumMilitary - German Army,Airship?,20/20(0),1917,3,4,20,20,100.0,1920
14,1917-03-30,Off Northern GermanyMilitary - German Navy,Schutte-Lanz S-L-9 (airship)?,23/23(0),1917,3,30,23,23,100.0,1920
15,1917-05-14,Near Texel Island- North SeaMilitary - German Navy,Zeppelin L-22 (airship)?,21/21(0),1917,5,14,21,21,100.0,1920
16,1917-06-14,Off Vlieland Island- North SeaMilitary - German Navy,Zeppelin L-43 (airship)?,24/24(0),1917,6,14,24,24,100.0,1920
17,1917-06-17,Near Yarmouth- England?,Zepplin LZ-95 (air ship)L-48,14/16(0),1917,6,17,14,16,87.5,1920
18,1917-08-21,Off western DenmarkMilitary - German Navy,Zeppelin L-23 (airship)?,18/18(0),1917,8,21,18,18,100.0,1920
19,1917-10-20,Near Luneville- FranceMilitary - German Navy,Zeppelin L-44 (airship)?,18/18(0),1917,10,20,18,18,100.0,1920
20,1918-04-07,Over the MediterraneanMilitary - German Navy,Zeppelin L-59 (airship)?,23/23(0),1918,4,7,23,23,100.0,1920
21,1918-05-10,Off Helgoland Island- GermanyMilitary - German Navy,Zeppelin L-70 (airship)?,22/22(0),1918,5,10,22,22,100.0,1920
22,1918-08-11,Ameland Island- North SeaMilitary - German Navy,Zeppelin L-53 (airship)?,19/19(0),1918,8,11,19,19,100.0,1920
23,1918-12-16,Elizabeth- New JerseyUS Aerial Mail Service,De Havilland DH-497,1/1(0),1918,12,16,1,1,100.0,1920
24,1919-05-25,Cleveland- OhioUS Aerial Mail Service,De Havilland DH-461,1/1(0),1919,5,25,1,1,100.0,1920
25,1919-07-19,Dix Run- PennsylvaniaUS Aerial Mail Service,De Havilland DH-482,1/1(0),1919,7,19,1,1,100.0,1920
26,1919-08-02,Verona- ItalyCaproni Company,Caproni Ca.48?,14/14(0),1919,8,2,14,14,100.0,1920
27,1919-10-02,Newcastle- EnglandAircraft Transport and Travel,De Havilland DH-4?,1/1(0),1919,10,2,1,1,100.0,1920
28,1919-10-14,Cantonsville- MarylandUS Aerial Mail Service,Curtiss R-4LM32,1/1(0),1919,10,14,1,1,100.0,1920
29,1919-10-20,English Channel off Forkstone- KentAircraft Transport and Travel,De Havilland DH-4G-EAHG,0/0(0),1919,10,20,0,0,,1920
30,1919-10-30,Long Valley- New JerseyUS Aerial Mail Service,De Havilland DH.477,1/1(0),1919,10,30,1,1,100.0,1920
31,1919-12-11,Catherham- Surrey- UKAircraft Travel Transport,de Havilland DH-4G-EAHF,1/1(0),1919,12,11,1,1,100.0,1920
32,1920-03-10,New Paris- IndianaUS Aerial Mail Service,De Havilland DH-465,1/1(0),1920,3,10,1,1,100.0,1920
33,1920-03-30,Newark- New JerseyUS Aerial Mail Service,De Havilland DH-472,1/1(0),1920,3,30,1,1,100.0,1920
34,1920-04-10,Newark- New JerseyUS Aerial Mail Service,Curtiss R-4LM49,1/2(0),1920,4,10,1,2,50.0,1920
35,1920-04-11,Heller Field- New JerseyUS Aerial Mail Service,Curtiss JN-4H44,1/2(0),1920,4,11,1,2,50.0,1920
36,1920-05-12,Oskaloosa- IowaUS Aerial Mail Service,De Havilland DH-479,1/2(0),1920,5,12,1,2,50.0,1920
37,1920-06-06,Cleveland- OhioUS Aerial Mail Service,De Havilland DH-4204,1/1(0),1920,6,6,1,1,100.0,1920
38,1920-06-20,Cartagena- ColumbiaCompañia Colombiana de Navegación Aérea,Farman F-40?,1/1(0),1920,6,20,1,1,100.0,1920
39,1920-08-16,Bedford- EnglandBy Air,Armstrong-Whitworth F-K-8G-EALW,1/1(0),1920,8,16,1,1,100.0,1920
40,1920-08-16,College Park- MarylandUS Aerial Mail Service,De Havilland DH-4317,1/1(0),1920,8,16,1,1,100.0,1920
41,1920-09-01,Morristown- New JerseyUS Aerial Mail Service,Junkers JL-6305,2/2(0),1920,9,1,2,2,100.0,1920
