Date,Location,Aircraft Type/ Registration,Fatalities
02 Jan 1988,Izmir- TurkeyCondor Flugdienst,Boeing B-737-230AD-ABHD,16/16(0)
08 Jan 1988,Monroe- LouisianaPhoenix Air,Learjet 36AN79SF,2/2(0)
18 Jan 1988,Near Chungking- Sichuan- ChinaChina Southwest Airlines,Ilyushin IL-18DB-222,108/108(0)
18 Jan 1988,Mt. Colorado- BoliviaETA - Empresa Transportes Aéreos,Curtiss C-46A-55CP-1244,9/9(0)
18 Jan 1988,Krosnovodsk- USSRAeroflot,Tupolev TU 154B-2CCCP-85254,11/143(0)
19 Jan 1988,Green Island- TaiwanTaiwan Airlines,Britten-Norman BN-2A-26 TrislanderB-11125,10/11(0)
19 Jan 1988,Bayfield- ColoradoTrans Colorado AL / Continental Express,Swearingen SA.227AC MetroN68TC,9/17(0)
24 Jan 1988,Near Nizhnevartovsk- RussiaAeroflot,Yakovlev YAK-40CCCP-87549,27/31(0)
01 Feb 1988,PanamaFuerza Aérea Panamena,CASA 212 Aviocar 200FAP215,16/16(0)
03 Feb 1988,Helena- MontanaAir Taxi - Minuteman Aviation Inc.,Cessna 421AN517S,3/3(0)
08 Feb 1988,Near Mulheim- GermanyNFD - Nurnberger Flugdienst,Swearingen SA.227AC Metro IIID-CABB,21/21(0)
19 Feb 1988,Cary- North CarolinaAV Air / American Eagle,Swearingen SA227-ACN622AV,12/12(0)
27 Feb 1988,Near Ercan- CyprusTalia Airways,Boeing B-727-2H9ATC-AKD,15/15(0)
27 Feb 1988,Surgut- RussiaAeroflot,Tupolev TU-134ACCCP-65675,20/51(0)
01 Mar 1988,Near Johannesburg- South AfricaCommercial Airways (Comair),Embraer 110P1 BandeiranteZS-LGP,17/17(0)
04 Mar 1988,Near Fontainebleau- FranceTransport Arien Transregional,Fairchild FH-227BF-GCPS,23/23(0)
06 Mar 1988,Quito- EcuadorMilitary - Ecuadorian Air Force,Rockwell Sabreliner 40FAE-068,11/11(0)
08 Mar 1988,Near Clarksville- TennesseeMilitary - U.S. Army,Sikorsky UH-60A / Sikorsky UH-60A8524462/8724605,17/17(0)
17 Mar 1988,Near Cucuta- N of  Santander- ColombiaAVIANCA,Boeing B-727-21HK-1716,143/143(0)
31 Mar 1988,Cairo- EgyptArax Airlines,Douglas DC-8-55F5N-ARH,4/4(0)
05 Apr 1988,Combi- CyprusKuwait Airways,Boeing B-747-2009K-ADA,2/112(0)
10 Apr 1988,Near Mazâr-e Charif- AfghanistanMilitary - Afghan Republican Air Force,Antonov AN-26?,29/29(0)
12 Apr 1988,Near Hennenman- South AfricaUnited Airways,Douglas DC-3CZS-UAS,24/24(0)
16 Apr 1988,St. Just- FranceChaillotine Air Service,Mitsubishi MU-2L MarquiseF-GERA,6/6(0)
19 Apr 1988,Bagdarin- USSRAeroflot,Let 410UVP TuroletCCCP67518,17/17(0)
27 Apr 1988,Near Tchamulate- AngolaMilitary - Cuban Air Force,Antonov AN-2614-27,29/29(0)
28 Apr 1988,Maui- HawaiiAloha Airlines,Boeing B-737-297N73711,1/95(0)
06 May 1988,Near Broennoysund- NorwayWideroe's Flyveselksap,de Havilland Canada DHC-7-102LN-WFN,36/36(0)
18 May 1988,Swentna- AlaskaJay Hawk Air - Air Taxi,Piper PA-32-260N897P,3/3(0)
24 May 1988,New Orleans- LouisianaTACA,Boeing B-737-3T0N75356,0/45(0)
26 May 1988,Puerto Limon- Costa RicaAeronica,Douglas DC-6YN-CBE,6/6(0)
26 May 1988,Hannover- GermanyStarair,Fokker F-27 Friendship 600OY-APE,2/2(0)
03 Jun 1988,Near Quito- EcuadorNorth American Sabreliner 40,Military - Ecudorian Air ForceFAE-068,11/11(0)
08 Jun 1988,Greenville- MississippiMilitary - U.S. Air Force,Lockheed C-130E Hercules61-2373,6/6(0)
12 Jun 1988,Posadas- ArgentinaAustral Lineas Aeras (Argentina),McDonnell Douglas MD-81N1003G,22/22(0)
18 Jun 1988,Central MozambiqueMilitary - Mozambique Air Force,Mil Mi-8 (helicopter)?,21/25(0)
26 Jun 1988,Habsheim- FranceAir France,Airbus A320-111F-GFKC,3/136(0)
03 Jul 1988,Over the Persian Gulf- near Bandar Abbas- IranIran Air,Airbus A300B2-203EP-IBU,290/290(0)
06 Jul 1988,Barranquilla- ColombiaLineas Aéreas Suramericanas,Canadair CL-44JHK-3148,8/8(0)
20 Jul 1988,Golden Meadow- LouisianaTACA,Douglas C-118AN33VX,3/3(0)
21 Jul 1988,Near Lagos- NigeriaAngola Air Charter,Boeing 707-328CD2-TOV,6/6(0)
26 Jul 1988,Morristown- New JerseyNortheast Jet,Learjet 35AN442NE,1/2(0)
30 Jul 1988,Liscomb Bay- AlaskaAir Taxi - Temesco Helicopters Inc.,Cessna CE185N70168,3/3(0)
02 Aug 1988,Reykjavik- IcelandGeoterrex,CASA 212 Aviocar 200C-GILU,3/3(0)
02 Aug 1988,Sofia- BulgariaBalkan Bulgarian Airlines,Yakovlev YAK-40LZ-DOK,28/37(0)
15 Aug 1988,Northern AfghanistanMilitary - Afghan Republican Air Force,Antonov AN-22?,39/39(0)
17 Aug 1988,Bahawalpur- PakistanMilitary - Pakistan Air Force,Lockheed C-130B Hercules23494,30/30(0)
19 Aug 1988,Duncan Town- BahamasMD Air Services,Partenavia P-68CN39272,6/6(0)
23 Aug 1988,M'Bamu Island- ZaïreKinair Cargo,Douglas DC-49Q-CBG,5/5(0)
26 Aug 1988,Irkutsk- RussiaAeroflot,Let 410MUCCCP-67235,4/4(0)
28 Aug 1988,Kaiserslautern- West GermanyMilitary - Italian Air Force,Aermacchi MB-339PAN (3 aircraft)?,3/3(67)
31 Aug 1988,Kowloon Bay- Hong KongCAAC,Hawker Siddeley HS-121 Trident 2EB-2218,7/89(0)
31 Aug 1988,Cerro de la Calera- MexicoTransporte Aereo Federal,Embraer 110P1 BandeiranteXC-COX,20/20(0)
31 Aug 1988,Merida- MexicoAerocaribe,Convair CV-240XA-HUL,1/20(0)
31 Aug 1988,Dallas- TexasDelta Air Lines,Boeing B-727-232 AdvN473DA,14/108(0)
05 Sep 1988,Sitka- AlaskaWrangell Air Service,Britten-Norman BN-2A IslanderN111VA,1/10(0)
09 Sep 1988,Bangkok- ThailandHang Khong (Vietnam),Tupolev TU-134AVN-A102,76/90(0)
12 Sep 1988,Lago Agrio- EcuadorTAME Ecuador,Lockheed L-188A ElectraHC-AZY,7/7(0)
15 Sep 1988,Cheney- Ontario- CanadaBradley Air Services,BAe-748C-GFFA,2/2(0)
15 Sep 1988,Bahar Dar- EthiopiaEthiopian Airlines,Boeing B-737-230ET-AJA,35/104(0)
19 Sep 1988,Near Miram- PakistanMilitary - Afghan Republican Air Force,Antonov AN-26?,34/34(0)
02 Oct 1988,Sao Pedro da Aldeia- BrazilAramar,Beech King Air F90PT-LJR,8/8(0)
04 Oct 1988,Near Batagay- RussiaAeroflot,Antonov 12BPCCCP-11418,6/6(0)
07 Oct 1988,Linfen- ChinaShanxi Airlines,Ilyushin IL-14PB-4218,42/46(0)
11 Oct 1988,Wurtsmith AFB- MichiganMilitary - U.S. Air Force,Boeing KC-135A60-0317,6/17(0)
16 Oct 1988,Sedona- ArizonaAir Taxi - Northern Arizona Aircraft Inc.,Piper PA-32-300N4113R,5/5(0)
17 Oct 1988,Rome- ItalyUganda Airlines,Boeing B-707-338C5X-UBC,33/52(0)
19 Oct 1988,Near Ahmedabad- IndiaIndian Airlines,Boeing B-737-2A8VT-EAH,124/129(0)
19 Oct 1988,Gauhati- IndiaVayudoot,Fokker F-27 Friendship 100VT-DMC,34/34(0)
25 Oct 1988,Juliaca- PeruAero Peru,Fokker F-28 Fellowship 1000OB-R-1020,12/69(0)
02 Nov 1988,Near Rzeszow- PolandLOT Polish Airlines,Antonov AN-24BSP-LTD,1/29(0)
13 Nov 1988,Jacksonville- FloridaAir Taxi - TAJ FBO Co.,Piper PA-28-181N8342L,4/4(0)
14 Nov 1988,Ilmajoki- FinlandWasa Wings,Embraer 110P1 BandeiranteOH-EBA,6/12(0)
17 Nov 1988,Toussus- FranceJC Air,Cessna 441 ConquestF-GFHR,7/7(0)
18 Nov 1988,Montluçon- FranceAir Littoral,Swearingen SA-226TC Metro IIF-GCPG,4/4(0)
30 Nov 1988,Hamada al Hambra- LibyaAero Club Libya,de Havilland Canada DHC-6 Twin Otter 3005A-DDD,14/14(0)
07 Dec 1988,Kodinsk- RussiaAeroflot,Let 410UVPCCCP-67127,6/14(0)
08 Dec 1988,Bîr Mogreïn- MauritaniaT & G Aviation,Douglas DC-7CFN284,5/5(0)
10 Dec 1988,AfghanistanMilitary - Afghan Republican Air Force,Antonov AN-32?,25/25(0)
